MIX,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Split_Tensile_Strength
M1,407.00,-,658.02,1159.35,-,-,175,56,2.58
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,56,3.9
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,56,5.59
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,56,6.16
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,56,5.36
M6,407.00,-,655.61,866.33,250.45,2.28,175,56,4.24
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,56,5.64
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,56,7.14
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,56,6.88
M10,203.50,203.50,650.74,859.89,248.59,-,175,56,6.78
M11,407.00,-,653.20,575.43,499.06,4.55,175,56,3.89
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,56,5
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,56,6.9
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,56,7.74
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,56,7.35
M16,407.00,-,650.79,286.66,745.84,6.83,175,56,3.82
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,56,5.32
M18,305.25,101.75,654.38,288.23,749.94,-,175,56,6.48
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,56,7.34
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,56,7.04
M21,407.00,-,648.39,-,990.78,9.10,175,56,2.9
M22,356.13,50.88,656.19,-,1002.70,0.00,175,56,4.8
M23,305.25,101.75,651.97,-,996.25,2.28,175,56,6.16
M24,254.38,152.63,647.74,-,989.79,4.55,175,56,6.71
M25,203.50,203.50,643.52,-,983.33,6.83,175,56,6.77
M1,407.00,-,658.02,1159.35,-,-,175,56,2.36
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,56,4.14
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,56,5.89
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,56,5.46
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,56,5.82
M6,407.00,-,655.61,866.33,250.45,2.28,175,56,3.91
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,56,5.74
